ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,1.3602026416906524e-21,,,,,8.082819362554274e-32,,,,,0.20569385917185895,,,,1014257192.522361,,680074439345.0533,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,1.4704272681723657e-12,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.859432177287255e-10,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.7896536521604976e-76,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.0878336360478256e+75,,3.780005538609574e-77,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.6454987692103673e+76,,1.0505370016551022e+20,6.642907054641175e+22,,,5.189528727099516e-69,,,,,,,1.3653238067572388e-09,,2.9300996054541426e-15,,,
"$\hat{S}_{y,z}$",,,,9.51894125027979e-21,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.5053650333724506e-23,,,,,2.98406062726963e-70,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,5.120292212497897e-09,,8.612227140359819e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.9269572490812879e+68,,3.3511383477318448e+69,8.158827254710878e+20,1161139834914084.8,,528096140381003.25,,,,,,2.483535421681468e+47,,3.6553316383479596e+31,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,195301353.61398786,1.225666347357218e-21,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,1.3269131233774515e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.8935946005561304e-15,,753628841543638.6,25872737.51273156,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.8650722580396297e-08,,,,181676494023.59256,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,4.157276191923272e-10,5.590445264832732e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,5.5042893984410536e-12,2405421131.130987,,105.89133893538806,14.70553177867146,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,17887.66283592118,0.009443642983966537,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.30293749275990756,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,732426985.4893147,,,,,4.0265179681751985e-48,,,,,0.06800162109406852,,,,0.4580579744451984,,3.301011013491644,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,341285326320846.3,,,,,2.7357298842847365e-32,,,,,,,2.183129769132835,,,,,
