ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.03082159641978308,0.09780639653335008,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.3032875903362378,,10.22428016412014,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,3124.4065271126683,5.386668665663135,,0.5960502295571338,0.26314625003819536,,,,1.5320652808906534,7.267459659845599,0.05189820130730875,,,,,8.392270074176766,,0.3867567902201004,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,0.6527137012194796,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,3.5057031003858103,21.7031356556288,,0.16052112048975645,0.527702092464138,,,0.13759966299162718,,,1.005858058606368,,,,,3.5802787067742035,,1.4277516476135783,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.021554388265998734,,0.004391034360360388,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,1.41441246272643,5.5563845123535,,0.08116775371933059,0.03443412934865637,,,19.268490522024535,,0.9941760583849333,,46.39426494777695,4.147912251189117,,,3.041923492420289,,0.14687406657848964,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.24108513860516734,227.7367740565634,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,0.3328363274341592,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,3.2911868744566086,42.503870836744845,,0.0777555269547544,2.267420212004667,,,2.5856042486827637,,0.7004019233117008,6.808553908089683,,,3.0044797324529346,,0.3800121756843664,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,9.735768835197728,0.36333110534110324,,0.09728974739807629,1.200652316131857,,,0.11915727105554266,,0.27930786452683465,0.3287393658952138,,,,,,,2.6314946309262157,
$\hat{S}_{x}$,,2.8822740908146e-07,0.0035034435980190156,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3469482.6671303003,,178.3502912420608,,2.7924155801635463e-06,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,285.4334519800573,0.005606943465221365,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,0.9222930151410977,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,358112.8851678417,,1.0842541183584853,,0.09443351532585649,,,12.019808529070003,,22.944364995160516,1.8505482014852213,0.21004267126250353,,,17.354309665192858,,2262.4266734237767,,,
"$\hat{S}_{x,y,z}$",,,,,10.589460707349033,,,,3.7345066051585865,,3.9511582214337198,48.29872349143947,17.29669702008603,,,29.747543561623115,,0.8814936160661703,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,0.08319600079997048,0.2677729900433621,3.5470941351187912,68.09765900547873,,,1.6783092876123145,7.844812819434113,0.04727399662289491,,,35.5590787016401,,75.74721510733282,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.045513384787899874,,0.014684792614083047,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,21.971558579089873,0.281920908187713,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,0.04358368602534533,0.25309034565493543,,,0.5958377322827505,,,4.503269108018538,10.096238843648662,,,10.448116729562793,,2.845728984639647,6.534160467039068,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,0.15304184907064985,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,0.5403804122461742,0.020704480940935042,,,0.1274727674218918,,0.22206090198327172,,0.6609650042688955,,,0.48956743478183,,1.347135526151713,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.6919982179626407,7.075359915697074,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,4.76093735615387,0.05781450636724088,,,21.15327815367524,,0.09904678519259473,1.5129394045697122,,214.41397725244533,1.4450904265970055,6.3937031194502785,,11.353939965182596,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.00466387505522845,,0.14133556623479254,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,0.05762257440903438,0.03361622104791489,,,0.028122213412516698,,0.0957110286842905,2.0426195227745048,0.15640388383969547,,,,,0.9410732835698467,,6.786948335852451,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.1473416255016178,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,0.0004420032753975091,1.1344381646944723,,,0.013201805486617733,,0.3514038073891388,0.7423158105381158,0.08807515303643917,,,1.0626165012427322,,,,,
$\hat{S}_{x}$,,0.001994053991754918,0.3600169830053086,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,501.49093461603036,,0.008845046168394455,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,2.777646742251753,113.05763485703989,,0.0580540466619824,,1.7159235172413945,,0.0028799425604782527,,,,0.0010333742356058173,,1.2152945880355295,,,,0.012952655825619034,0.0037626690625485884,0.2454572539599496,
"$\hat{S}_{x,z}$",,,,0.02610643346993245,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,17.22532807785931,,,0.7047689602200664,,7.212162379498255,,,,11.092542456493753,,0.12482314517655943,,,,1.0408709792119244,0.05172387042979684,0.6998765287550771,38.30473439245271
"$\hat{S}_{x,y,z}$",,,0.5827765573186214,1.4189047140892055,,,,0.8523449285942982,,,,0.04945770630429613,,0.5998711389471107,,,,0.3026641901126533,0.0004287209988870302,0.011287024867420236,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.7737809919595254,0.13485730545816227,,,,,,,,,,,,,
