ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y}$",,,,2.9022228850990925e-45,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.4586762525223285e+90,,,,,,2.1928025336226646e-30,,1.0502264062258827e-60,,,3.058011014949672e-42,,,,,3.905197568282553e-38,,,3.4456347413367474e+44
"$S_{x,y,z}$",,,,,,,,4.088905945284931e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,3.6045430369926406e-19,1.9266784335967177e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,4.560374154383748e+29,,244564197215917.12,2.7742767661176955e+18,,142238563.9206634,821838939081.6443,,,7.770697464101557e-23,,,,,7.97004369378925e-15,,,
"$S_{x,y,z}HF_{x}$",,,,,,,5.19027971955446e+21,7.0304421841447404e-09,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,9.52175639530549e+59,,,,1.2167834261022482e-12,,,5.083746670524227e+21,2.66022314057489e+21,0.6039962736574963,,,,,1.008181552974073e-18,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.967053169265969e-22,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.759083156399783e-22,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.847622494532689e-26,7.201598217295219e-11,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3.270099404846185e+41,,,,1.2868857713477066e+22,,1.6556393534425389,,,,2.9912095960981353e+24,1.4603608782441273e+25,,,42215618.931620754,6.596424265834074e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.343129151846944e-25,,13885806592.186987,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.5159728357368727e-21,,,115022086474.59572,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,8.693982439806154e-12,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.5606899075269705e+37,,,,125469826568110.5,,9.918848416240727e+17,,,2.3687915167600923e-08,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.3988192647962015e+41,6.915276455427724e-84,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.148886387017935e-42,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,1.3696407206109616e-28,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.4460737852571478e+83,,,,,,,6.777131117249784e-25,,,,,,,,,8.229638571304566e-51,3.450566664528383e-56,5.545791684610748e-55,7.301184792125088e+27
"$S_{x,y,z}$",,,,,,,,,1.0679060985570467e-46,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.4958811189355657e+21,2.6553993073682747e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,1.4755506167716115e+24,,9.364119198787222e+45,3.7659119561610665e+18,1.3815826257316218e+37,,,,,,,,,,1.1817459335400623e-07,1.2337242790555565e-06,3.651306397521306e-28,
"$S_{x,y,z}HF_{y}$",,,,,,,6.68502321034426e-22,,7.238075967193396e-38,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,1.80316906380552e+54,,,,,2.738745783369074e+27,7.099345049386447e+35,,81339592.9449789,,,,,,9.361680276942868e+23,3.309938164913166e+20,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,,,,,,,,1.4085806409514127e-36,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,1.2294135780547082e-08,
