ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{z}$",,,,,,3.2178553877910315e+30,3.020504578872579e+77,58012.767232798,,,92606.33770031501,2.175247247390474,,,,,2.2217312988114646e+17,149075506632259.06,,2.6175859189341607e+42,
"$S_{x,y,z}HF_{y}$",,,,,,,4.921441130557627e+65,,1.7237584892082888e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.0319251484914023e-66,3.310705128522784e-78,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,1.0798397008594784e-05,,,870292.489031262,,,,,159855.20259932097,2.9476602838178976e+22,,3.7728094954367365e+34,1874434.803091631
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.334941489299243e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,0.4597178556137219,,1.149038987011272e-06,,,3114556777.6935935,,,62.08050708419027,732908605927332.5,,2.4318224739834338e+45,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.6827542862081634e-16,0.001683895136851142,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,593.8612079312638,2.3531932578544828e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,3.2107297165426047e-10,5942638257979728.0,,424954.47267758497,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.005194388408909525,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,4.500994339571843e-18,,6.2556612718230525e-06,0.016108115847762863,,,,,,17849.20108993621,192.51544576157974,1.3704907937812154e+20,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,6.708010072149611e-15,,3.392521198897351e-23,1.3644266036891774e-15,,,,,5.60249164632821e-05,,,1.007808031750423e+20,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.859421075870677e+17,2.2547244188457631e-07,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.0578583011986197e-18,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,2.6946911572693462e-37,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,4435131.813190364,,,3.711000413915136e+36,,,2.589127370084683e-94,,1.9586848406028758e-54,,,,,2.962491675335722e-85,,,8.157442787659239e-60,,,
"$S_{x,y,z}$",,,,,,,,5.702494336619773e-27,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,3.862305159468817e+93,,1.7536185763101747e+26,3953.9038472079774,,9555793.9034453,2.678502620636163e-07,,,,,6.575743423985444e-10,,,0.7921336826299717,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.0002529145974822183,54970.86446643534,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.8191454868070885e-05,1.0464855250168741e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,5.105466582833223e+53,,,,3733429.238768088,,,1.0045278355628047e+18,1011.8468291044578,,,9908.934880551278,,,1.6989566937482391e-06,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,9.954925733239956e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,0.0009882918750509471,,,,,2.4819280546077074e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.793310128340615,8.985200071484216e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3.375536911463813e+84,,,,1520740599.99427,,0.0001009190202634943,,4029125.6555301705,111294.12723636943,3960411859788.576,,,,9.872977236128773e-06,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.3579982007203965,,2.5249899136838365e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,7.951001760266987e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,125770.31550882476,,3.2230241522105324e-06,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.2258743653253962e+59,,,,1.2624131783916688,,588596.5214297484,,,,,101286.57000652656,,310267.6097894406,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.4378752434922478e-25,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.101932626246713e+24,,,,,,,,,,,,,,,,,,2.2108468542026626e-60,
"$S_{x,z}$",,,4.523153641777905e+59,4.375657594489771e+22,,,,,2.141217829517966e-37,,,2.6920423494822387e-23,,2.7446093796880884e-17,,,,,6.51482781156941e-50,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.2853707777758744e-23,
"$S_{x,y,z}$",,,,,,,,,8.269421764096174e-56,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.209274394906011e+55,2.846074526424431e+34,877.3874920724282,,,,2.866164520044808e-07,,228116059.19191572,,,,,2.5240699127312363e-12,4.670239460060546e+36,
"$S_{x,y,z}HF_{y}$",,,,,,,1074184207491978.1,,0.0011397472713429678,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.309390261236622e-16,3.5136114346812837e-35,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,23282.453125436172,2.8032793543626255e-14,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,4.2950800528295536e-05
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,3488983.249239184,,,,,380042458.70527893,,,,,0.5105977479418988,3.71465181516305e+22,35672506146907.625
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,4.383733453674529e-09,,,2.6312849448632137e-09,154368044.9713288,,103692063.06507786,,,,1.8923715445707653e-18,3.643505729451545e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,6.4780246467831655e-09,175.2584885736206,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.005705857719866911,9.643939665588417e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.9040864475374232e-14,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,396185539455.96686,,,1.9584888574827606,,5.284374534530552e+17,,,52518623894062.766,14198983.121171689,,1.5349599850116404e+49,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,7.042757861363531e-08,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1673.747773657465,,1.5060602671580011e-13,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.000597461586350496,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,6639840528341.152,,8.804010676574658e+23,,,,4.777758615770154e-54,,,,3.5309545056977516e-72,4.531171177512681e-61,,,,,3.509800005547966e-28,,,
"$S_{y,z}$",,,,,1.135845964681481e-24,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.679654103761789e-22,,,,,,,,,,,,,
