ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.00875575268991291,6821045910.061586,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,1.2058376944377632e+47,,1.0763930657171885e+30,,,,,,1.072743318925529e-09,114.21062647784157,,6.644272262916139e+21,,,1.2440217531849376e+32,,1.6862975882491917e+18,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,5.93015139776281e-19,,,1354626890.9708195,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,7.382106517044932e-10,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,6690659470000.745,,9.223290469493525e-06,,,,,,7.33050735806034e-33,,8.038444644877033e-33,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,2.1952706293625203e-96,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.555247023417736e+95,,1.0088202570823225e+64,,2.216123037891421e-15,,,,,3.2590054124661775e-71,,,5.9088766482202555e-25,,,9.17954920883013e-47,,,
"$S_{y,z}$",,,,9.912568596631551e-65,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,3.2513545349955037e-24,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,451238484011010.3,,3.075641211183334e+23,,3.787122416825248e+33,2.0451312168750304e+16,,,7.260403840960001e-71,,,4.684516153868595e-11,,,5.289280547837048e-12,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.640527265654914e-34,,1.2374141276100991e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.8896618062874445e-17,8.081368861784105e+42,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,4.271317475356469e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,1.2065207787496846e-77,,,,,,,234119801.62316158,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.0684208015575924e+70,,,1.3773338534675443e+70,,,,8.288294885698514e+76,,,,2.0139848367733327e+40,,,1.3463013204177012e+49,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,50852.70963450056,,3.695167547120902e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.9664635516719033e-05,3.666856560742848e-15,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.6923690568175906e+24,,,21346921798.405457,,,,,4.965280680077663e-41,272713149105951.28,27062372334893.24,,1.261612004266629e+16,,73768801049.22328,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.0010793625258385773,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,7.926367192275543e-17,,,,,926.4727800542095,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.089378113511353e+46,,,189061629640.5248,,,,,7.42775770055504e-50,,,1.3555866243952314e-11,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,6.613989176809272e-112,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.5119468346067375e+111,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.3203541979223336e-100,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,7.573725304721774e+99,,,,2.9591157136952734e-20,,,4.667749671222574e-64,3.296755815970516e-50,,,,2.7858579117749907e-16,,,,
"$S_{x,y,z}$",,,,,,,,,1.7005742406039027e-29,,,,,,,,,,,,
