ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,z}$",,,,,,4.168456365577492e-15,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,239896957602304.53,,1.3400066197770244e+25,,,1e-160,,,,1.7335897185024758e-103,,,,,,,
"$R_{x,y,z}$",,,,,,7.462649700688783e-26,,,,1.7955419007568805e-123,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.426851327613689e+28,1.1519252299249719e-54,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.008438655430425e-29,,5.024915952716181e-33,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,1e+160,5.5693492843495706e+122,8.681118999929647e+53,1.9900830370296195e+32,,,,0.00012203005888244213,6.712377037062622e-09,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,2.7084358215858003e-28,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,8194.702265638925,,3.6921679739654895e+27,,2.476372442643334e-22,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,5.768377542431599e+102,,,,148978520.49705574,,,4.0381647880582055e+21,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,7.799817492119081e-16,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1282081280761245.8,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,1.2681496009198797e+18,3.5407575352914226e+80,,,,,,,1e-160,,,,,,,
"$R_{y,z}$",,,,,7.885504985173897e-19,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,2.82425438633627e-81,,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.4170451067296684e-152,6.2548354456856915e-158,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.056938380090474e+151,,7.826098661911852e-13,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,1.5987630828717576e+157,1277775866622.8062,,,6.971494128644969e-26,,,,,,,,,
