ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1e+160,,,,1.840371463829573e+23,,,,,4.4797799198998656e+17,,9.851609627830264e+17,,,7.560378378814845e+17,,9.556896323549854e+19,5.035942361810444e+27
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,2.56952736285381e-21,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.0463648093951026e-20,,,3.8917663009019835e+20,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1e+160,,,,2.7431299015581053e-06,,,,,,1.3226851222183917e-18,,,,,,,74274.66835985034
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.2142739420295662e-36,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8.23537395794376e+35,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,2.310013288966191e-99,,
"$S_{x,z}$",,,1e+160,,4.328979425254881e+98,,,1.431983985871556e-31,,,,3.7645938456657282e-78,,4.7453963818888715e-17,,,,1.1066015863804238e-45,,,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1902.6722403831095,1.0462471617685529e-20,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.613245017127275e-29,0.0005255765963131131,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1e+160,1.3135003507050303e+28,,9.557970970354867e+19,,,54321246709.26027,,2.165414083123748e+37,,,,39986.11439317613,6.983318318265722e+30,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.219326907434932e-75
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.50587066127985e+74,,1.6209137814300488e-32,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,1.840900311718228e-11,,,,,,1.3060277703480336e+26,,,,11453942102.062874,2.656329051675323e+77,,6.169359601087181e+31
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.6267483267842405e-32,1.0173414857483705e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,4.618054384117777e-38,,,,7.656805028988913e-27,2.757290856425867e+31,,2024663.340468534,,,5.583728164397604e-21,2.1073055220772876e+16,15075.537567220785,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,98295411.52196169,4.939092737109502e-07,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,6.633262631870133e-05,,,4.396212426859878,6.51540029619043e-24,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,0.22746853493480498,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,2.5008681517968546e-05,,,,8.730618603527761e-11,,1.7909181295323395e+20,,,,,9.036676002524936e+44,1.5348251136383782e+23,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,7.599846840069628e-29,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.3158159908270444e+28,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,5.543507423270892e+158,,,,1.9946579045327054e-32,4.0163792144081995e-40,,,,,,5.931446540796094e-16,,0.015723862076059317,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.8039120788440468e-159,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.6830912628615044e+76,,1.7681313255485374e-34,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.7151105650938174e-77,2.707398989574298e-124,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,3.693581935469498e+123,5.65568849751454e+33,,3.648947928112823e-33,,,,,,3744.1436345428897,,1.5720182179240014e+25,5.013391006686297e+31,,
