ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,z}$",,,1.1990826895540745e+140,1.0272000786554204e+31,,1.7988782309023137e+37,,,7.705126105409114e-69,,,,,,2.3953233431227065e-40,,,,4.4269130526526086e-52,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,9.735201746761696e-32,
"$\hat{S}_{x,y,z}$",,,,,,,,,3.552987362438561e-94,,,,,,,,,,,5.559019964894466e-38,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.3176843269074562e+47,,6.030843216377931e-28,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,7.589071066413559e-48,3.904431367396658e-81,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.814532949291604e+93,2.5611924142151486e+80,1.6581429231725092e+27,,,1.2315931593710874e+21,,,,3.004409993601044e+42,,,,1.1379566385126124e+16,1.2978372921086717e+68,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.0514931332613553e-05,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,8.119564422643023e-22,95102.85596429507,,4.382639685746577e+20,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.2817298972859806e-21,,,,4.157999737046562e-37,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,5.656421075244459e-62,,2.277352914851875e-69,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,1.7679023302853776e+61,4.0608946844027113e-41,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,3.3284405328495594e-43,,,2.4050025570956445e+36,2.4625115343198887e+40,4.391062946276127e+68,,,,,6.306368437423e-26,4.17480171464589e+39,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,8.787681060563685e-17,,,,,,1.5856986630623099e+25,,1.327325730288224e+65,1.7544325266706885e+26,,2.258910414788471e+51,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,7.533945716420744e-66,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,5.699848724861806e-27,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.0769582214704495e-11,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,24528090445.80611,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,1.4612509258745317e+86,,4.4472336726964983e+74,,,,3.8300844176186026e-15,,,,,0.4728594589048823,,,1.8559397435444448e-16,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,6.843451609117157e-87,
"$\hat{S}_{x,y,z}$",,,,,,,,,2.3605568327669552e-61,,,,,,,,,,,2.248588838808797e-75,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,16897.84284281529,1.1086826549569908e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.236288599871742e+60,9.019713581058892e+21,181436627903058.5,,2.3553205984111947e-41,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.9179151404238854e-05,,5.5115662783057205e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,5.638873997119096e-08,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,4.2457065109291706e+40,,17734036.98168997,3.2681516898059917e+31,,,1.2143413619859035e+23,,,4.880615077708736e-05,,261090851000553.44,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.059833492794098e-32,,,,,0.07652041264784452,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.4039785874844263e-11,,3.3904078988330467e-23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,71226157500.8595,4.044306872395171e-47,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,8.234916731853924e-24,,13.068408355324893,2.4726115785762993e+46,2.9494976116124333e+22,,,,3.907876494378793e-27,2.6636561517262504e+42,2.1147932671494982,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.1043012653052985e-16,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,3.754238321458738e-43,,9055499902225838.0,7.349475063259492e-30,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,20489.22080676483,,,,,2.5589345042977435e+26,,,,1.3606413946474431e+29,5388105963452324.0,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.1032383108160407e+26,1e-160,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.0642247481446e-27,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1e+160,,,1.542168599594625e+54,1.7431314901828081e+47,,,1.1671429725111176e-23,,,,2.0761575084495674e-19,,,,,,,,
"$\hat{S}_{x,y}$",,,,6.484375315791414e-55,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,5.736801874281593e-48,,,,,3.728517843881891e-103,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,4.6227195386449364e+36,,2.2667508181665014e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.1632287912779827e-37,1.8537434664901462e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,8.567930609636384e+22,,2.682030881630071e+102,5.394489680351441e+32,4.4116009222789933e+21,,,2.9030827094933188e+31,,1.325295562016178,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,4.099272219802136e-33,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,3.44461422587072e-32,2.4394574119019305e+32,,1.9209421716366135e-22,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,5.205778782752295e+21,,1.3419527838062028e-20,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,4.816590243901003e+18,,,,,0.754548667226121,,,7.45182700961865e+19,,5.2661337918365126e+17,9.779315896143648e+16,,,,32438903.903101735,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.0225664152993949e-17,1173.6648934614097,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.8989263082342993e-18,,0.0008520319603756471,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,3.0827182169505494e-08,,,1.173205368975744e+46,,5.171007387754397e+40,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,8.523656867280113e-47,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.933859159374104e-41,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,0.025505923071581855,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,39.206579475423034,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,4.9758235395419464e+16,,5810375848.911069,,,3.1042253952583224e-78,,1.9824770586235728e-57,,,,,,,,1.421273925747379e-35,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.0097175714797472e-17,
"$\hat{S}_{x,y,z}$",,,,,,,,,3.555658313374356e-64,,,,,,,,,,,1.721059060555285e-10,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.850086591348859e-68,2.4289227818927026e-76,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.0618188586234905e+67,,2.1007312205514053e-25,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.812418719308802e+63,4.117051424832718e+75,4.760247242564984e+24,,,1.5046690987446813e-09,,,,,,,,1.5192938750654445e-07,3.2214155632110074e+77,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.5256826143593953e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,664597951.0274267,283633017880623.0,,1.231357603709914e+71,,,,,,,5.313126552483535e+20,5.044194562807686e+56,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,8.121117675215837e-72,,,,7.337034085104064e-45,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,4.474430773731142e+38,,5.476850097282164e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.3629485544168855e+44,1.626069940784603e+66,182586702618762.7,,,,,3.591909159579109e-39,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,2.234921156610317e-39,6.149796973170079e-67,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,6582005.077568843,,1.8821309639849742e-21,,,,2.78403477251963e+38,,2.5318174580790022e+36,4.896833676068704e+46,,7.035941361368102e+34,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.949731829239943e-37,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,2.0421359314021546e-47,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1177999653010.299,3.6311567499906904e-150,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,8.488966846845558e-13,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,2.7539433542839036e+149,,,4.376920336238805e+45,1.7286483326242653e-33,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,2.284711448185334e-46,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,5.784866598528444e+32,,,,,2.1811100998119364e-40,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.5848212801647374e+39,4.62887748791674e+46,6.017315178586028e+55,,,5.352915381590097e+21,,,2.0770476838507047e+27,,,,4.078951210658247e+71,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,33.48766243030174,,1.661870735238741e-56,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.029861743920804016,2.1603509762580848e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.8681408703736083e-22,5.950740445113685e+19,,4.498359415532237e+35,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.6804631444161326e-20,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.2230326828646307e-36,,,3.9435140479060456e-25,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,1.168028427808191e-15,7282539255077498.0,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,4.814525962861229e-28,,,2.535809402101628e+24,856143545989289.9,,1.6943442832788145e+29,,4.056805379480913e+49,1.259301454267577e+52,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.3731474214887132e-16,5.9019882196837086e-30,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,2.464993773322088e-50,,490454489089.4281,,2.664843613692723e-07,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,2.0389251648131267e-12,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,2.4516105938874993e-72,,,,,7.94091038814539e-53,,,3752565.422082242,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,9.428399270853247e-47,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.0606254267268663e+46,,,,,,,,,,,,,,,,,,3.009850475765686e-154,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.30355071141502e-14,
"$\hat{S}_{x,z}$",,,3.3224241803759594e+153,43411243131944.0,,7.75988633431915e+37,,,,5.257030571623507e-31,,,,,,,,,1.8466834450315145e-45,,
"$\hat{S}_{x,y,z}$",,,,,,,,,4.097237530965298e-74,,,,,,,,,,,1.2886786699147438e-38,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.186337330725561e+20,,4.418843909542803e-40,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.0885731320308672e-21,9.208397512952507e-44,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.4406688468569277e+73,1.0859652817913244e+43,2.263035356013436e+39,,2.3723722669851906e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,421519006066.7837,,2.4883500759878468e+34,5549158.843661383,,,,,,,1.4067545968595866e-22,1.9022145417944073e+30,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.018727146352232e-35,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.8020749237377955e-07,,,,,3.0208811383475063e+34,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,3.3102924418503393e-35,3364980.801797597,2.0176575499282816e+40,,,,,1.36203679197774e-19,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,3.26699733972053e-41,,4.956242450734741e-41,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,3.0609146442878445e+40,2.971785156889432e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.0002467578755296e-54,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,7.108560385957734e+21,,,,,7.341945576579867e+18,,9.997533029988982e+53,7.006111405665174e+44,,5.415113254469742e+44,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.4273252908758993e-45,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.583097852021165e-36,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.791120317975414e+35,,,,,,,,,,,,,,,,,,7.849848800684406e-144,
"$\hat{S}_{x,z}$",,,1.2739098871723655e+143,4.0482204703446856e+40,,1.7400793404081125e+72,,,,,2.725399691292748e-25,,,,7353.741570319169,,,4.048854723925591e-44,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.470221193053883e-41,
"$\hat{S}_{x,y,z}$",,,,,,,,,8.068635084586543e-76,,,,,,,,,,,5.746864391628622e-73,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.2393669927027596e+75,1.863924653458518e+55,1e+160,,,3.303477896203548e-20,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.402445077203966e-140,,1e-160,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.1901297667663712e+139,5.365023731750621e-56,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,3.027112732157914e+19,2547527586.1422076,,3.301430949675204e+101,,,2.7448915833665696e+22,,,5338282987967943.0,,3.669186590116867e+24,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.925374568816065e-10,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.0289895964608326e-102,,,,3.0988755468984145e-76,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,63901305619858.69,3.1897512285726954e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,3.6431311388026284e-23,3.2269769626627132e+75,313504072368.5106,5.577563372653309e+24,,,,1.63800286900785e-15,4.5926464499915055e+19,0.00013598519752667861,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.5649132522407004e-14,,1.7928976027470737e-25,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.3093102546921906e-08,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,2.1773938205102846e-20,,76376091.64186168,8.95179227912687e-27,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,1.8732615004748135e-16,,,,610499541191711.9,,,,1.1170947323383792e+26,2.4698342326060148e+43,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.6150146976133975e-159,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.191894113891093e+158,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.4853290957053276e-52,
"$\hat{S}_{x,z}$",,,1e+160,4.0236120106910975e+51,,7.342705748050639e+38,,,,6.832790392890288e-41,,3.469665234914903e-45,,,,,,0.23580362282511486,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,5.920690986578076e-22,,,,,,,,,,,1.3618957838062388e-39,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.0111543689117583e+19,,0.0035638059271681107,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.6889920488452315e+21,2.8641421903541123e+28,280.59889355272077,,8.450681505627683e-28,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,9.889686785176401e-20,3.4914467702330224e-29,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,9.901164453833342e-34,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,1.1833365147344102e+27,,1.0099822143776627e+33,0.13554712426842008,,,,,,4.729167839248683e+21,,1.4635309185549263e+40,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.377508046719816,,,,1.2794801452390742e+39,,,,148870959283.20773,,2.8821224305362304e+44,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,177846.0981205857,0.0029288807397881925,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,1.2016058676966143e-20,5.622839132079052e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,7.815674230827141e-40,8.322196378059661e+19,,341.42735360140233,8.82438353431545e+22,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,3.15012838686387e-05,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,1.133223636655515e-23,,,31744.73790243058,6.352573776527652e-19,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,2.1145369206411351e-22,,6.7172268172036796e-12,,,,1.574165110360363e+18,,,,4.24081694767538,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.802559753161308e-40,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.0822229215196023e+39,,1.553458062638792e-151,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,6.437251342989866e+150,,,165750740.18868676,,,8.217262763881165e-21,6.615377280640648e-05,,,,,,,,,3.687611622609288e-50,2.3027397467919796e+23,
"$\hat{S}_{x,z}$",,,,4.3426531434702164e-24,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,6.033155561547559e-09,,,,,1.8770132391886722e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.2169502530641741e+20,,5.327612928464181e+34,9.234046599391619e+41,4.5978076287557627e+42,,4325.794287917348,,,,,,,,,5.761428949733307e+22,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.86978774234127e-36,,2.1749496297882635e-43,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.484578267743823e+35,1.082948834226031e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,15116.295829814831,,,,,0.0002311714181123138,,1.654656638744384e+37,3.0744831035897863e+31,,,,,,,164489.1673915529,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,6.043549921987669e-38,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.2525792671698e-32,,,7.317881488097719e+19,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.3665157076217554e-20,,3.258302432389901e+20,1.2092709900777869e+40,,,,5.819734210029889e-30,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,8.269445047513085e-41,13239959.592213249,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,3.069082814594714e-21,,7.552893141668838e-08,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,2.711782319669602e+49,,,,,1.7356805207956082e-23,6.079427696412266e-06,,,1.7182915300093478e+29,,,2.7534106337677754e+20,,1390469141761815.2,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,3.6318592938373195e-21,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,7.19181727925968e-16,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.1123236409771964e-12,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,473412303210.0248,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,3.729305347976675e+88,,5.508421729147694e+70,,,1.487012371248913e-60,,,3.9015665382515364e-25,,,,,,8.621906005842037e-34,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.6814645267450342e-89,
"$\hat{S}_{x,y,z}$",,,,,,,,,4.057302918192046e-89,,,,,,,,,,,1.8154020319622985e-71,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.9188735661597116e-33,,2.703304166168178e-68,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.464691496206068e+88,3.264051730270639e+57,3.699176779716426e+67,,,8.16067515553803e+28,6.387280347179379e+28,,,,,,2.3889743234246006e+18,,6.724893614436572e+59,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.551753668797095e+32,3.0636769347925895e-58,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.2253888078382535e-29,667297417.0473157,,2.024567970598007e-32,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.4985821531047429e-09,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,1.5656115680621403e-29,,4.939325399406694e+31,,,,15674820556998.686,,,0.03643975650604331,,2.563073037960142e+24,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1905818122.9685495,,6.539621329437071e-11,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,6.379658359492401e-14,2.613411291337844e+33,15291405260.709183,,,44.32485031851536,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,5.247090411976854e-10,3.8264164669162547e-34,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,0.02358480254943226,,,,
