ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y}$"
"$S_{x,y,z}HF_{z}$",,,,7.846973346684133e+19,,2.1505416821758456,1.3182567489079397e+38,10088899757.720758,,,22035.205370645075,,,27.05663763717133,,3.000396141240673,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.176406797257209e-36,7.585775690724985e-39,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.5947292632068516e+35,,9.911883594984948e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.807067267883969e-07,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,4.538192329862207e-05,3562436.8943385626,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,9.042613737454905e-12,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,180127.30900167968,,172.69559123424543,,,0.036959507438062665,,,110587494836.58203,346745.90522103343,,157.28359550241356,0.43267828334321595,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2.8839561908093747e-06,1.391150868571217e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,71882.92963703147,0.006357942141427296,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.7871348015395193e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.5604982610093114e+17,,785220631.5090586,,,0.33328932345130163,,,,,2.311186020877235,,,,45200.35775520405,,5595548.803249505,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.2123718697444756e-05,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2339.4885479357813,3.470970808494437e-38,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.0004274438534364007,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2.8810383468299995e+37,,,,,,4.184461528212844e-09,,,,,8.048116018325019e-12,,,,,3.8405356519486726e-05,49921800664801.1,,4.712066737627701e-05
"$S_{x,y}$",,,,2.0031328731799546e-14,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.2141323975358979e-11,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.768312971188053e+25,0.01817902154282444,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,238979374.8270147,,82363340442.07344,8.919388436858348e+25,,55.00846113440668,,,,53606623.073348194,,,,,88.64767237673516,,,1829039534.981527
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1211531004386073e-26,1.7336091245306303e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,21222.11029004763,,,,5.46735038185e-10,,,70.91201268646232,1.4247275902073513,0.5617290121622762,,,,,0.0018479305163085448,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.014101983036661265
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,0.1348110162339381,,,,,,,,0.701888562328229
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,124252681959.73657,,,,1.865441138927428e-08,,,,7.417791423400414,,7802.9985407769345,379.2028091072619,,,1.7523961946279363,,,1.780217824517693
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.002637111266011583,634.2684705228139,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0001281558614645635,,0.0015766194387302926,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.2801785007074841,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,3.5691532272279307,0.08366241508668414,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,26038.0345510555,,,,0.01128061203626641,,,,,0.5706472104114088,,,,,,,11.952798624853012,541.1458878863128
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.0105704749517001e-30,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.895400912517207e+29,,1.7597004178640988e-32,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,5.682785489212913e+31,,267361.3487244472,,,1.9163143774798415e-22,,,,,,,,,1.7157154118950084e-14,6.039999953060641e-10,,,5.300492739318734e-12
"$S_{x,z}$",,,,3.74025641616073e-06,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,0.007729519289242352,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.0200134044568326e-52,4.558207153477934e-60,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.1938450060063532e+59,0.2833027642915618,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,5.218350453097925e+21,,129.3741515583979,3.311243580986211e+51,,3.5297925966258745,,,,,,,,65752939.26036773,186.36627264791525,,,4.739370817535918e-06
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.4261514557505497e-06
"$S_{x,y,z}HF_{x,y}$",,,,188661705464.10916,,,,210998.47184355106,,,701187.7987907839,89209.29083256633,,,,,62.07844794217583,495049197.58927274,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,1.1209594770536442e-05
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,69.2949056143515,11.594008879509252,,0.0009258106971184318,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.014431075288064067,,0.05228155553602859,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.08625144334392883,19.127204417452226,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.4707218990079988,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,58284724440138.914,,,,1.520844560332446e-08,,,,,1080.1344196091934,,,,,5340312.011741032,,2.1243965961800457,0.0161086501539386
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1655629151.9394321,,,,0.005365777754697109,,,,,,,,,1.872549764510825e-07,,,,2.0200012541575103e-09
