ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,8.602627539118107e+51,,,,,,4.6836920546506876e+26,,,,2.6481401978865134e+42,,,2.4046666283583785e+39,6.61203549063484e+46,5.795209044014452e+33
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,4.158580604092641e-40,,9.204120036090911e-10,3.0683180479445794e-12
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.5123935759515822e-47,1086469967.8826773,,1.562304495789922e-06
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,1.7255632927216735e-34,325911455192.8165,640080.0885453426,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.0568285561554582e-07,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",9462272.704267288,,,,,,,,,,,,0.0827102538059813,,,,,,6.323386851739515e-33,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.1519455885538095e-61,,,3.276415127238774e-68,2.0722811498449177e-51,2.1479865187302205e-20,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,8.680965576294562e+60,,,,2.0948611889565402e-10,,,,,,,2.0623432746234106e-18,1.554064273328121e-12,3.0176519919393078e-27,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,5.344630128846312e+21,,,,,,,,,,74.02789917586885,,,7.981035693366182e-44,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.871036864838876e-22,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.052116295296067e+67,4773585979.212802,,,,1.8075755434050218e+19,4.691861870038407e+47,,,,,,,4.717408868953827e-15,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,4.825600040201285e+50,,,,5.532272239733058e-20,,1.2050375455934248e+30,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,4.655522701283752e+19,,,,2.1313500433289912e-48,8.298496620763353e-31,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,,0.512180316439368,0.004225946755746918,1.502500103747428e-12,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1.9524373895348244,,189.42971437226475,2.8005130656925283e-08,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,236.6333647342072,0.005279002839199838,,0.003259588766440395,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,12.090399363853527,,,,,,,,665557358369.4747,35707742.707949616,306.78716600561893,,,,,,,5.3747787319758476e-24,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,4.8488533034472774e+17,,,,,,,,,,,14.346261238878814,6.052634676141848e-11,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,643474029461.1115,,,,,,,,,,0.06970457203790273,,0.0011692387596223437,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,3.313834738635138e+26,0.013508420624287738,,211980777536836.34,,,,,,,16521730676.093496,855.2573131624488,,,,2.094796696529416e-39,
