ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1.2293944810268323e-07,,7.678809370444973e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,8134085.644867755,2.37504481598075e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,2.0744262909500514e+69,4.21044686513446e+21,130228522646.8712,,,8.092288268533915e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,123574441099485.28,,,1.6637123411217058e-44,,,,,,,,1.0508850585856919e+23,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,9.515788542524582e-24,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.01065445800433e+43,,8.349183061207766e-14,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,3.236344941331622e+142,,,,,,,,,11977219719210.986,,1.525836223561958e+39,3.581063711027532e+26,,2.2000653474009216e+39,1.3561134195597947e+55,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,2.7924663750622444e-27,11118.363178943164,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.553783325877333e-40,,8.99412965654764e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,4.545319534173674e-40,,,,,91930.52383116903,2.1008455245544924e+16,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,4.759988244314446e-17,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,1.2521611928922343e+81,,,,,,,,,,7.374014485636519e-56,,,,1.087777985293009e-05,,,,
$\hat{S}_{x}$,,1.0156293137735921e-14,2.5777459110393384e-22,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,98461120257003.89,,6.34314388820949e+24,1.350970082928035e-150,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,3.8793583018304676e+21,1.5765053065543415e-25,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,8.469667117777102e-77,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,7.402088415108665e+149,,,1.1806839467174408e+76,1470916962985575.8,,,,,,5.139404987114863e-141,,,3.10896743266702e-131,,,,1.8952505861690168e-135,,
"$\hat{S}_{x,y,z}$",,,,6.79848030285994e-16,,,,,1.4104728931531013e-86,,,,,,,,,,,,
