ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,109878.77249402259,,2.361860083622589e-12,,,,6719.02816618731,0.00010581246556632677,,,,7.854494961526848e-23,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.62206739279948e-48,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.5101024207143409e+47,,1.4418231346900462e-111,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.935663438463093e+110,,1.6216919337208265e+23,,1.182587166798602e-47,,,,5.848650182265669e-32,,,,2.4953091814676212e-16,8.074510118256769e-48,,4.358172915365279e-30,,,
"$S_{y,z}$",,,,6.166399296971218e-24,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,9.82390789240617e-66,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.0411408027808882e-71,,4.1034742921167594e-49,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.2179506423619794e-18,2.4369593393605845e+48,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,8.456036291236898e+46,,1.0179248532785967e+65,,9.604848809392534e+70,8.210513342812429e+17,,0.041562588026123885,,,,1141618311027965.5,3.382896050853187e-05,,2.1042661170461717e+24,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.709796224489899e+31,,,24.06009941853132,,,4.895575454756655e+34,,152503.69612810045,,,4.536340570029669e+31,395344813.24030364,,5.626470557457198e+23,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,2.0426607847058648e-35,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.5572181225038465e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.9905692584449663e-20,,0.00010377656808537085,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,4007519418542947.5,,,8.759495098668785e-16,,,,2.2044200265886557e-32,,18210140530882.7,9636.086627738152,,1.0063111304627142e-08,,0.00021582021834016214,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,5.023688554203839e+19,5.4914458145124874e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,7.902095866185241e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.238465226192438e+47,,,29560.47082049104,,,,2.529437510015256e-09,,,,99372845.01068647,,,1.559130226570061e-11,,126548.70517063883,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.29453952245533e+29,,,4.752250639304753e-25,,,,1.7773131304750585e-24,,,,4633.4861844308925,64138324237.347725,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,,8.401465822373641e-77,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.1902684854551642e+76,,,,,4.430579278818697e-106,,,2.8380156481587078e-77,,,,5.0534580916633945e-84,,5.528143135881459e-56,,,8.67270352697206e+16,,
"$S_{x,y}$",,,,,1.1530429892939444e-17,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.0871287645004853e-76,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.2570412062835834e+105,9.198542368249089e+75,,2.7493055332450257e+67,56.00070926268847,5.5132511936631366e-09,,,,142314281464.69772,,346166146068.7727,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.0178569166920582,3.459395881569162e+70,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.6372821714714718e-68,,2.890678124836079e-71,,,,,,,,,,,,
