ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}$",,,,,7.653584849825772e+144,,,1.1953977196895325e+75,,,3.750617560113959e+60,,,,2.1240477760316316e-06,,,1.3564830760543012e+56,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.259056562599512e-08,,5.711030002308821e-34,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,30683726.43408106,1.920361947523681e-30,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.4907002017908684e+152,,,1.0374409835523887e+76,,,,470799.2029578095,5.207351672894302e+29,1.7509976301923225e+33,,,2.341090657650906e+34,6.214547342503806e+57,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,6.988725917359317e-21,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,4.2715133509755607e-35,,,,1.4308759734247083e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,8.58405899783497e+87,,,5.591899228649802e+18,,,,7.372004985928546e-57,,,1.609127656266443e-58,,,,,,
$S_{x}$,,1.2582892966189125e-111,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,7.947297991702314e+110,,3.978270640588221e-145,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.513655028387263e+144,,1.602261602710468e-30,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.728788501066644e-10,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,6.2411780842051546e+29,,5784397567.331173,,,,3.6405581369400546e-79,,,1.4048319158533395e-146,,,5.461017722452756e-136,,,1.504034960340531e-109,,,
"$S_{x,y,z}$",,,,,,,,,6.807626209534212e-64,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,180012.5178085184,8.736248256035969e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,2.7468315636912628e+78,,1.4689408161092638e+63,1.1446561163244064e+25,125.98629031967378,,,,6.271562106835083e-64,,,4.183793458013017e-52,,,5.3879339703957376e-36,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.555169230307154e-06,,0.007937371577991783,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,2021929045.0703087,3.7902564299622145e-61,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.945771971761882e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,7.118289303617994e+145,,,,,1.5944990784834078e+63,2.638343918092025e+60,,,,,4103391.138915952,,,152343183502673.1,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.8311605104091496e+135,,,,,2.390175351712806e+51,,,2.437008723141571e-07,16939.27679468933,6.793148540608342e+37,,,,156272226933286.5,3.0272854445285108e+16,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.949642655935327e+29,5.903439752005896e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.1291450613048736e-30,,1.4720714467263038e-38,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.4466991457418423,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,3.303289426530264e-17,,2.23864318867071,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,6.648781619900567e+108,,,,,1.855998988656038e+35,,,6.564126973114314e-15,,,6.399089714302886e-15,,,,,,
